repo,pr_id,pr_url,state,created_at,merged_at,closed_at,author,comments,review_comments,commits,additions,deletions,changed_files,title,body_length,has_security_terms,has_financial_terms,pr_commits,pr_lines_added,pr_lines_removed,pr_files_changed,pr_complexity_changes,test_files_changed,config_files_changed,py_files,java_files,js_files,md_files,touches_security,touches_financial,is_risky,risk_reasons,merge_time_hours,created_year,created_month,created_weekday,created_hour,is_weekend,is_business_hours,time_to_close_hours,pr_age_days,total_lines_changed,lines_per_file,net_lines,add_delete_ratio,relative_pr_size,complexity_per_line,total_comments,comments_per_line,comments_per_file,comments_per_commit,has_intense_discussion,title_length,title_word_count,title_has_feature,title_has_fix,title_has_refactor,body_code_ratio,body_size_category,py_files_ratio,java_files_ratio,js_files_ratio,md_files_ratio,file_type_diversity,has_security_files,has_financial_files,test_file_ratio,config_file_ratio,is_focused_pr,risk_score_raw,risk_score_norm,risk_category,risk_reason_count,has_risk_reason_many_files,has_risk_reason_touches_financial,has_risk_reason_touches_security,has_risk_reason_many_comments,has_risk_reason_title_financial,has_risk_reason_title_security,repo_binance/binance-connector-python,repo_ccxt/ccxt,repo_enigmampc/catalyst,repo_freqtrade/freqtrade,repo_quantopian/zipline,repo_stripe/stripe-python,repo_ta4j/ta4j,author_category,author_top_2pd,author_top_Dan-krm,author_top_TheCookieLab,author_top_anniel-stripe,author_top_caoilainnl,author_top_carlosmiei,author_top_dependabot,author_top_francescopeloi,author_top_helenye-stripe,author_top_jar-stripe,author_top_nimo23,author_top_other,author_top_pakrym-stripe,author_top_pcriadoperez,author_top_prathmesh-stripe,author_top_ramya-stripe,author_top_richardm-stripe,author_top_sc0Vu,author_top_stripe-openapi,author_top_ttodua,author_top_xavdid-stripe,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
freqtrade/freqtrade,12715,https://github.com/freqtrade/freqtrade/pull/12715,merged,2026-01-15 03:33:02+00:00,2026-01-15 05:50:58+00:00,2026-01-15 05:50:58+00:00,freqtrade-bot,1,0.0,1,420,110,1,Update Binance Leverage Tiers,30,0,0,1,420,110,1,0,0,0,0,0,0,0,0,0,0,none,2.298888888888889,2026,1,3,3,0,0,2.298888888888889,3,530,530.0,310,3.8181818181818183,0.826333206058292,0.0,1.0,0.0018867924528301887,1.0,1.0,0,29,4,0,0,0,0.05660377358490566,tiny,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,none,0,0,0,0,0,0,0,0,0,0,1,0,0,0,other,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
freqtrade/freqtrade,12713,https://github.com/freqtrade/freqtrade/pull/12713,merged,2026-01-13 21:02:58+00:00,2026-01-14 05:32:04+00:00,2026-01-14 05:32:04+00:00,dependabot,1,0.0,1,1,1,1,chore(deps): bump filelock from 3.20.2 to 3.20.3,3266,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,none,8.485,2026,1,1,21,0,0,8.485,4,2,2.0,0,1.0,0.003118238513427517,0.0,1.0,0.5,1.0,1.0,0,48,7,0,0,0,1633.0,large,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,none,0,0,0,0,0,0,0,0,0,0,1,0,0,0,dependabot,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
freqtrade/freqtrade,12712,https://github.com/freqtrade/freqtrade/pull/12712,merged,2026-01-13 03:31:03+00:00,2026-01-13 05:29:45+00:00,2026-01-13 05:29:45+00:00,freqtrade-bot,1,0.0,1,1,1,1,Update pre-commit hooks,54,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,none,1.9783333333333333,2026,1,1,3,0,0,1.9783333333333333,5,2,2.0,0,1.0,0.003118238513427517,0.0,1.0,0.5,1.0,1.0,0,23,3,0,0,0,27.0,tiny,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,none,0,0,0,0,0,0,0,0,0,0,1,0,0,0,other,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
freqtrade/freqtrade,12705,https://github.com/freqtrade/freqtrade/pull/12705,closed,2026-01-11 15:55:05+00:00,,2026-01-12 06:06:15+00:00,pulpoff,1,0.0,8,12527,0,136,Claude/integrate lightweight charts 0 tjcs,748,0,0,8,12527,0,136,0,0,0,0,0,9,6,0,5,1,"touches_financial, many_files",-1.0,2026,1,6,15,1,1,14.186111111111112,6,12527,92.11029411764706,12527,12527.0,19.531086928853252,0.0,1.0,7.9827572443522e-05,0.007352941176470588,0.125,0,42,5,0,0,0,0.05971102418775445,medium,0.0,0.0,0.6,0.4,2,0,1,0.0,0.0,0,7,6.36,medium,2,1,1,0,0,0,0,0,0,0,1,0,0,0,other,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
freqtrade/freqtrade,12708,https://github.com/freqtrade/freqtrade/pull/12708,merged,2026-01-12 03:04:16+00:00,2026-01-12 05:48:47+00:00,2026-01-12 05:48:47+00:00,dependabot,1,0.0,1,1,1,1,chore(deps): bump ccxt from 4.5.31 to 4.5.32,6174,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,none,2.7419444444444445,2026,1,0,3,0,0,2.7419444444444445,6,2,2.0,0,1.0,0.003118238513427517,0.0,1.0,0.5,1.0,1.0,0,44,7,0,0,0,3087.0,large,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,none,0,0,0,0,0,0,0,0,0,0,1,0,0,0,dependabot,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
freqtrade/freqtrade,12707,https://github.com/freqtrade/freqtrade/pull/12707,closed,2026-01-12 03:04:06+00:00,,2026-01-12 05:35:37+00:00,dependabot,3,0.0,1,1,1,1,chore(deps-dev): bump scipy-stubs from 1.16.3.3 to 1.17.0.0 in the scipy group,13600,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,none,-1.0,2026,1,0,3,0,0,2.5252777777777777,6,2,2.0,0,1.0,0.003118238513427517,0.0,3.0,1.5,3.0,3.0,0,78,11,0,0,0,6800.0,large,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,none,0,0,0,0,0,0,0,0,0,0,1,0,0,0,dependabot,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
freqtrade/freqtrade,12709,https://github.com/freqtrade/freqtrade/pull/12709,merged,2026-01-12 03:04:28+00:00,2026-01-12 05:31:43+00:00,2026-01-12 05:31:43+00:00,dependabot,1,0.0,1,1,1,1,chore(deps): bump pymdown-extensions from 10.19.1 to 10.20,4931,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,none,2.4541666666666666,2026,1,0,3,0,0,2.4541666666666666,6,2,2.0,0,1.0,0.003118238513427517,0.0,1.0,0.5,1.0,1.0,0,58,7,0,0,0,2465.5,large,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,none,0,0,0,0,0,0,0,0,0,0,1,0,0,0,dependabot,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
freqtrade/freqtrade,12710,https://github.com/freqtrade/freqtrade/pull/12710,merged,2026-01-12 03:04:34+00:00,2026-01-12 05:31:23+00:00,2026-01-12 05:31:23+00:00,dependabot,1,0.0,1,1,1,1,chore(deps): bump filelock from 3.20.1 to 3.20.2,3813,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,none,2.4469444444444446,2026,1,0,3,0,0,2.4469444444444446,6,2,2.0,0,1.0,0.003118238513427517,0.0,1.0,0.5,1.0,1.0,0,48,7,0,0,0,1906.5,large,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,none,0,0,0,0,0,0,0,0,0,0,1,0,0,0,dependabot,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
freqtrade/freqtrade,12711,https://github.com/freqtrade/freqtrade/pull/12711,merged,2026-01-12 03:04:46+00:00,2026-01-12 05:31:05+00:00,2026-01-12 05:31:05+00:00,dependabot,1,0.0,1,1,1,1,chore(deps): bump certifi from 2025.11.12 to 2026.1.4,4869,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,none,2.4386111111111117,2026,1,0,3,0,0,2.4386111111111113,6,2,2.0,0,1.0,0.003118238513427517,0.0,1.0,0.5,1.0,1.0,0,53,7,0,0,0,2434.5,large,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,none,0,0,0,0,0,0,0,0,0,0,1,0,0,0,dependabot,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
freqtrade/freqtrade,12617,https://github.com/freqtrade/freqtrade/pull/12617,merged,2025-12-14 17:31:46+00:00,2025-12-14 18:34:25+00:00,2025-12-14 18:34:25+00:00,xmatthias,1,0.0,6,79,25,6,Add price parameter to force-exit API,756,0,1,6,79,25,6,0,0,0,6,0,0,0,0,0,0,none,1.044166666666667,2025,12,6,17,1,1,1.0441666666666667,34,104,17.333333333333332,54,3.16,0.16214840269823086,0.0,1.0,0.009615384615384616,0.16666666666666666,0.16666666666666666,0,37,6,1,0,0,7.269230769230769,medium,1.0,0.0,0.0,0.0,1,0,0,0.0,0.0,1,0,0.0,none,0,0,0,0,0,0,0,0,0,0,1,0,0,0,other,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
freqtrade/freqtrade,12701,https://github.com/freqtrade/freqtrade/pull/12701,merged,2026-01-08 19:57:02+00:00,2026-01-09 18:43:17+00:00,2026-01-09 18:43:17+00:00,xmatthias,1,0.0,6,97,23,3,Enhance futures wallet calculations,456,0,0,6,97,23,3,0,0,0,3,0,0,0,0,0,0,none,22.77083333333333,2026,1,3,19,0,0,22.770833333333332,9,120,40.0,74,4.217391304347826,0.187094310805651,0.0,1.0,0.008333333333333333,0.3333333333333333,0.16666666666666666,0,35,4,1,0,0,3.8,small,1.0,0.0,0.0,0.0,1,0,0,0.0,0.0,1,0,0.0,none,0,0,0,0,0,0,0,0,0,0,1,0,0,0,other,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
freqtrade/freqtrade,12699,https://github.com/freqtrade/freqtrade/pull/12699,merged,2026-01-07 23:50:11+00:00,2026-01-08 05:49:00+00:00,2026-01-08 05:49:00+00:00,stash86,1,0.0,1,1,2,1,fix typo on example,15,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,none,5.980277777777777,2026,1,2,23,0,0,5.980277777777777,10,3,3.0,-1,0.5,0.0046773577701412754,0.0,1.0,0.3333333333333333,1.0,1.0,0,19,4,0,1,0,5.0,tiny,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,none,0,0,0,0,0,0,0,0,0,0,1,0,0,0,other,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
freqtrade/freqtrade,12700,https://github.com/freqtrade/freqtrade/pull/12700,merged,2026-01-08 03:33:02+00:00,2026-01-08 05:31:42+00:00,2026-01-08 05:31:42+00:00,freqtrade-bot,1,0.0,1,401,331,1,Update Binance Leverage Tiers,30,0,0,1,401,331,1,0,0,0,0,0,0,0,0,0,0,none,1.9777777777777776,2026,1,3,3,0,0,1.9777777777777779,10,732,732.0,70,1.2114803625377644,1.1412752959144712,0.0,1.0,0.001366120218579235,1.0,1.0,0,29,4,0,0,0,0.040983606557377046,tiny,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,none,0,0,0,0,0,0,0,0,0,0,1,0,0,0,other,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
freqtrade/freqtrade,12697,https://github.com/freqtrade/freqtrade/pull/12697,merged,2026-01-07 19:47:05+00:00,2026-01-07 20:37:51+00:00,2026-01-07 20:37:51+00:00,dependabot,1,0.0,1,1,1,1,chore(deps): bump urllib3 from 2.6.2 to 2.6.3,7191,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,none,0.8461111111111111,2026,1,2,19,0,0,0.8461111111111111,10,2,2.0,0,1.0,0.003118238513427517,0.0,1.0,0.5,1.0,1.0,0,45,7,0,0,0,3595.5,large,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,none,0,0,0,0,0,0,0,0,0,0,1,0,0,0,dependabot,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
freqtrade/freqtrade,12695,https://github.com/freqtrade/freqtrade/pull/12695,merged,2026-01-07 16:04:13+00:00,2026-01-07 19:19:31+00:00,2026-01-07 19:19:31+00:00,dependabot,1,0.0,1,1,1,1,chore(deps): bump psutil from 7.2.0 to 7.2.1,3086,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,none,3.255,2026,1,2,16,0,1,3.255,10,2,2.0,0,1.0,0.003118238513427517,0.0,1.0,0.5,1.0,1.0,0,44,7,0,0,0,1543.0,large,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,none,0,0,0,0,0,0,0,0,0,0,1,0,0,0,dependabot,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
freqtrade/freqtrade,12696,https://github.com/freqtrade/freqtrade/pull/12696,merged,2026-01-07 16:04:29+00:00,2026-01-07 18:46:36+00:00,2026-01-07 18:46:36+00:00,dependabot,1,0.0,1,1,1,1,chore(deps): bump ccxt from 4.5.30 to 4.5.31,6802,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,none,2.7019444444444445,2026,1,2,16,0,1,2.7019444444444445,10,2,2.0,0,1.0,0.003118238513427517,0.0,1.0,0.5,1.0,1.0,0,44,7,0,0,0,3401.0,large,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,none,0,0,0,0,0,0,0,0,0,0,1,0,0,0,dependabot,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
